                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0834,                 2.6161,                 1.2504,                0.32763,                0.38729,                0.30373,                0.20719,                 1.0886,                 4.0793,                 1.0889,              0.0033315,              0.0033315,              0.0033315
                      2,                 1.0386,                 1.6161,                 1.2143,                0.46888,                0.32563,                0.37463,                0.24891,                 1.1159,                 2.4233,                 1.1168,              0.0064449,              0.0064449,              0.0064449
                      3,                 1.0933,                 1.4096,                  1.249,                0.41243,                0.38974,                0.34723,                0.21768,                 1.2549,                 3.1545,                 1.2121,              0.0093383,              0.0093383,              0.0093383
                      4,                  1.099,                 1.2629,                 1.2574,                0.56691,                0.36117,                0.40056,                 0.2759,                 1.1564,                 2.7188,                 1.1762,                0.00901,                0.00901,                0.00901
                      5,                  1.029,                 1.0805,                 1.2141,                0.53946,                0.44545,                 0.4832,                0.33959,                 1.0836,                 1.9005,                 1.1393,                0.00868,                0.00868,                0.00868
                      6,                0.98028,                0.98289,                 1.1841,                0.56021,                  0.436,                0.47632,                0.32822,                 1.1215,                   1.73,                 1.1497,                0.00835,                0.00835,                0.00835
                      7,                0.93836,                0.91216,                 1.1635,                0.68261,                0.44693,                0.50635,                0.36398,                 1.0869,                 1.7403,                 1.1507,                0.00802,                0.00802,                0.00802
                      8,                0.90546,                0.84927,                 1.1428,                0.61727,                0.44486,                0.53573,                0.39465,                 1.0332,                 1.8153,                 1.1236,                0.00769,                0.00769,                0.00769
                      9,                0.88248,                0.81554,                 1.1308,                 0.5291,                0.49651,                0.53448,                0.38802,                 1.0363,                 1.7548,                 1.1222,                0.00736,                0.00736,                0.00736
                     10,                0.86442,                0.77749,                 1.1187,                0.51818,                0.54131,                0.55662,                0.41217,                  1.026,                 1.5929,                 1.1238,                0.00703,                0.00703,                0.00703
                     11,                0.84911,                0.75008,                 1.1126,                0.67543,                0.47589,                0.54074,                0.40441,                 1.0313,                 1.8337,                 1.1279,                 0.0067,                 0.0067,                 0.0067
                     12,                0.82813,                 0.7192,                 1.0993,                0.66109,                0.49963,                0.54289,                0.41036,                0.99179,                  1.673,                 1.0867,                0.00637,                0.00637,                0.00637
                     13,                 0.8125,                 0.7032,                 1.0917,                0.57622,                 0.5222,                0.56051,                0.41876,                0.99218,                 1.7011,                 1.0895,                0.00604,                0.00604,                0.00604
                     14,                0.79927,                0.68276,                 1.0834,                0.62875,                0.50302,                 0.5658,                0.42821,                0.97403,                 1.6086,                 1.0594,                0.00571,                0.00571,                0.00571
                     15,                0.78845,                0.66303,                 1.0783,                0.72907,                 0.5067,                0.58892,                 0.4493,                0.96996,                 1.6235,                 1.0782,                0.00538,                0.00538,                0.00538
                     16,                0.77242,                0.64353,                 1.0657,                 0.7122,                0.54341,                 0.6062,                0.46118,                0.94178,                 1.3947,                 1.0482,                0.00505,                0.00505,                0.00505
                     17,                0.76593,                0.62762,                 1.0636,                0.72631,                 0.5071,                0.58734,                 0.4483,                0.94791,                  1.472,                 1.0522,                0.00472,                0.00472,                0.00472
                     18,                0.75329,                 0.6123,                 1.0576,                0.74773,                0.50238,                0.59545,                0.45534,                0.95273,                  1.463,                 1.0693,                0.00439,                0.00439,                0.00439
                     19,                0.74229,                0.59567,                 1.0531,                0.72439,                0.52643,                0.59895,                0.46016,                0.94923,                 1.3743,                  1.073,                0.00406,                0.00406,                0.00406
                     20,                0.73052,                0.58802,                 1.0479,                0.70043,                0.54902,                0.60737,                0.46779,                0.93386,                  1.351,                 1.0459,                0.00373,                0.00373,                0.00373
                     21,                0.68755,                0.48294,                 1.0341,                0.71457,                0.51065,                0.58944,                0.45989,                0.93649,                 1.4412,                 1.0527,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.6636,                0.45997,                 1.0196,                0.73652,                0.53788,                0.60946,                0.47544,                 0.9271,                 1.3779,                  1.056,                0.00307,                0.00307,                0.00307
                     23,                0.64768,                0.44154,                 1.0113,                 0.7418,                0.53143,                0.60175,                 0.4685,                0.93756,                 1.3846,                 1.0621,                0.00274,                0.00274,                0.00274
                     24,                0.63641,                0.42716,                  1.006,                0.73483,                0.54217,                0.60976,                0.47395,                0.93257,                 1.3828,                 1.0594,                0.00241,                0.00241,                0.00241
                     25,                0.62352,                0.41416,                0.99861,                0.71178,                0.56481,                0.61328,                0.47479,                0.93132,                 1.3728,                 1.0582,                0.00208,                0.00208,                0.00208
                     26,                0.60701,                0.39933,                0.99014,                0.73605,                0.54805,                0.61447,                0.48125,                0.92534,                  1.358,                 1.0567,                0.00175,                0.00175,                0.00175
                     27,                0.59606,                0.38609,                0.98254,                 0.7286,                0.54756,                0.61288,                0.48055,                0.92245,                 1.3657,                 1.0618,                0.00142,                0.00142,                0.00142
                     28,                0.58022,                0.37166,                0.97445,                0.73829,                0.53469,                0.61101,                0.48048,                0.91816,                 1.3695,                 1.0641,                0.00109,                0.00109,                0.00109
                     29,                0.56621,                0.35798,                0.96802,                0.73237,                0.53747,                0.60919,                0.47949,                0.91869,                 1.3929,                  1.065,                0.00076,                0.00076,                0.00076
                     30,                0.55539,                0.34864,                0.96206,                0.72982,                0.53263,                0.60768,                0.47838,                0.91792,                 1.4057,                 1.0642,                0.00043,                0.00043,                0.00043
